前提文	仮説文	正解ラベル
拡張型心筋症の男性が、心室頻拍により意識消失となった。	拡張型心筋症の男性が、心室頻拍により意識を消失した。	entailment
拡張型心筋症の男性が、心室頻拍により意識消失となった。	拡張型心筋症の男性が、心室頻拍により意識清明となった。	contradiction
拡張型心筋症の男性が、心室頻拍により意識消失となった。	肥大型心筋症の男性が、心室頻拍により意識消失となった。	neutral
拡張型心筋症の男性が、心室頻拍により意識消失となった。	拘束型心筋症の男性が、心室頻拍により意識消失となった。	neutral
拡張型心筋症の男性が、心室頻拍により意識消失となった。	心筋症の男性が、心室頻拍により意識消失となった。	entailment
リドカイン血中濃度が高かった。	リドカインの血中濃度が高かった。	entailment
心室頻拍出現のためメキシチレン開始した。	心室頻拍出現のためメキシチレンを開始した。	entailment
心室頻拍出現のためメキシチレン開始した。	心室頻拍出現のためメキシチレンを終了した。	contradiction
心室頻拍出現のためメキシチレン開始した。	心室頻拍出現のためメキシチレンを再開した。	neutral
心室頻拍出現したためメキシチレン開始した。	心室頻拍が出現したためメキシチレン開始となった。	entailment
心室頻拍出現したためメキシチレン開始した。	心室頻拍が消失したためメキシチレン開始となった。	contradiction
リドカイン投与量を減量したが、血中濃度が上昇した。	リドカインを投与する量を減量したが、血中濃度が上昇した。	entailment
リドカイン投与量を減量したが、血中濃度が上昇した。	リドカインの投与量を減量したが、血中濃度が上昇した。	entailment
リドカイン投与量を減量したが、血中濃度が上昇した。	リドカインのみ投与量を減量したが、血中濃度が上昇した。	neutral
リドカイン投与量を減量したが、血中濃度が上昇した。	リドカインに投与する量を減量したが、血中濃度が上昇した。	neutral
拡張型心筋症の男性が、心室頻拍により意識消失となった。	拡張型の心筋症の男性が、心室頻拍により意識消失となった。	entailment
キャンディン系抗真菌薬のミカファンギンは抗真菌スペクトルを有する。	キャンディン系の抗真菌薬のミカファンギンは抗真菌スペクトルを有する。	entailment
キャンディン系抗真菌薬のミカファンギンは抗真菌スペクトルを有する。	ポリエン系抗真菌薬のミカファンギンは抗真菌スペクトルを有する。	contradiction
MCFG使用頻度が増加している。	MCFGを使用する頻度が増加している。	entailment
MCFG使用頻度が増加している。	MCFGを使用する回数が増加している。	neutral
MCFG使用頻度が増加している。	MCFGを使用する量が増加している。	neutral
MCFG使用頻度が増加している。	MCFGの使用頻度が増加している。	entailment
MCFGは尿路感染症に対する使用報告が少ない。	MCFGは尿路感染症に対して使用しなかった報告が少ない。	contradiction
MCFGは尿路感染症に対する使用報告が少ない。	MCFGは皮膚感染症に対する使用報告が少ない。	neutral
MCFGは尿路感染症に対する使用報告が少ない。	MCFGは真菌感染症に対する使用報告が少ない。	neutral
MCFGは尿路感染症に対する使用報告が少ない。	MCFGは膀胱炎に対する使用報告が少ない。	neutral
MCFGは尿中排泄率が低い。	MCFGは尿中への排泄率が低い。	entailment
MCFGは尿中排泄率が低い。	MCFGは尿中排泄量が低い。	neutral
MCFGは尿中排泄率が低い。	MCFGは尿中への排泄頻度が低い。	neutral
Candida尿路感染症に対してMCFG投与した。	クラミジア尿路感染症に対してMCFGを投与した。	neutral
Candida尿路感染症に対してMCFG投与した。	カンジダ尿路感染症に対してMCFGを投与した。	entailment
Candida尿路感染症に対してMCFG投与した。	Candida尿路感染症に対してミカファンギンを投与した。	entailment
Candida尿路感染症に対してMCFG投与した。	Candida尿路感染症に対してカスポファンギンを投与した。	neutral
MRSA肺炎に対してバンコマイシンを投与され改善傾向にあった。	MRSA肺炎に対してバンコマイシンを投与され改善する傾向にあった。	entailment
MRSA肺炎に対してバンコマイシンを投与され改善傾向にあった。	MRSA肺炎に対してバンコマイシンを投与され改善した。	neutral
MRSA肺炎に対してバンコマイシンを投与され改善傾向にあった。	肺炎に対してバンコマイシンを投与され改善傾向にあった。	entailment
MRSA肺炎に対してバンコマイシンを投与され改善傾向にあった。	ウイルス性肺炎に対してバンコマイシンを投与され改善傾向にあった。	neutral
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、尿路感染症と考えられたため、MCFGを投与開始した。	entailment
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、尿路感染症と考えられたため、CPFGを投与開始した。	neutral
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与を開始した。	entailment
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、尿路感染症と考えられたため、CPFG投与を開始した。	neutral
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、尿路感染症と考えられたため、MCFGを投与した。	entailment
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、尿路感染症と考えられたため、CPFGを投与した。	neutral
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、尿路感染症と考えられたため、CPFG投与開始。	neutral
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与再開。	neutral
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与終了。	neutral
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、感染症と考えられた。	entailment
酵母様真菌が検出され、尿路感染症と考えられたため、MCFG投与開始。	酵母様真菌が検出され、膀胱炎と考えられた。	neutral
左尿管ステント挿入が背景にあり、尿道カテーテルが留置されていた。	右尿管ステント挿入が背景にあり、尿道カテーテルが留置されていた。	neutral
左尿管ステント挿入が背景にあり、尿道カテーテルが留置されていた。	左尿管にステントを挿入した。	entailment
左尿管ステント挿入が背景にあり、尿道カテーテルが留置されていた。	左尿管にステントを挿入したことが背景にあり、尿道カテーテルが留置されていた。	entailment
左尿管ステント挿入が背景にあり、尿道カテーテルが留置されていた。	尿管にステントを挿入したことが背景にあり、尿道カテーテルが留置されていた。	entailment
左尿管ステント挿入が背景にあり、尿道カテーテルが留置されていた。	尿にステント挿入したことが背景にあり、尿道カテーテルが留置されていた。	neutral
CTにて左腸腰筋膿瘍を認めた。	CTにて右腸腰筋膿瘍を認めた。	neutral
CTにて左腸腰筋膿瘍を認めた。	CTにて腸腰筋膿瘍を認めた。	entailment
CTにて左腎膿瘍を認めた。	CTにて右腎膿瘍を認めた。	neutral
CTにて左腎膿瘍を認めた。	CTにて腎膿瘍を認めた。	entailment
CTにて左腸腰筋膿瘍と左腎膿瘍を認めた。	CTにて膿瘍を認めた。	entailment
MCFGを投与開始した。	MCFGを投与することを開始した。	entailment
MCFGを投与開始した。	MCFGを投与した。	entailment
MCFGを投与開始した。	MCFGを投与終了した。	contradiction
尿培養からの真菌消失と臨床所見の改善を認めた。	血液培養からの真菌消失と臨床所見の改善を認めた。	neutral
尿培養からの真菌消失と臨床所見の改善を認めた。	尿からの真菌消失と臨床所見の改善を認めた。	neutral
尿培養からの真菌消失と臨床所見の改善を認めた。	培養からの真菌消失と臨床所見の改善を認めた。	entailment
尿培養からの真菌消失と臨床所見の改善を認めた。	尿培養から真菌が消失した。	entailment
尿培養からの真菌消失と臨床所見の改善を認めた。	尿培養からの真菌出現と臨床所見の改善を認めた。	contradiction
尿培養からの真菌消失と臨床所見の改善を認めた。	尿培養からの真菌消失と検査所見の改善を認めた。	neutral
MCFGは尿路感染症に対する使用報告が少ない。	MCFGは尿路感染症に対して使用した報告が少ない。	entailment
Candida尿路感染症に対してMCFG投与した。	尿路感染症に対してMCFG投与した。	entailment
Candida尿路感染症に対してMCFG投与した。	感染症に対してMCFG投与した。	entailment
Candida尿路感染症に対してMCFG投与した。	Candida尿路感染症に対してMCFGを投与した。	entailment
MCFGを投与開始した。	MCFG投与を開始した。	entailment
MRSA肺炎に対してバンコマイシン投与され改善傾向にあった。	MRSA肺炎に対してバンコマイシンを投与され改善傾向にあった。	entailment
尿培養から真菌消失を認めた。	尿培養から真菌が消失した。	entailment
VancomycinはMRSA肺炎治療の第一選択薬である。	Vancomycinは非定型肺炎を治療するための第一選択薬である。	neutral
臨床効果判定及び副作用回避を目的としてTDMが実施されている。	臨床効果の判定及び副作用回避を目的としてTDMが実施されている。	entailment
臨床効果判定及び副作用回避を目的としてTDMが実施されている。	臨床効果を判定すること及び副作用回避を目的としてTDMが実施されている。	entailment
臨床効果判定及び副作用回避を目的としてTDMが実施されている。	臨床効果判定と副作用の回避を目的としてTDMが実施されている。	entailment
臨床効果判定及び副作用回避を目的としてTDMが実施されている。	臨床効果判定及び副作用を回避することを目的としてTDMが実施されている。	entailment
臨床効果判定及び副作用回避を目的としてTDMが実施されている。	臨床効果を判定することだけを目的としてTDMが実施されている。	contradiction
臨床効果判定及び副作用回避を目的としてTDMが実施されている。	副作用を回避することだけを目的としてTDMが実施されている。	contradiction
臨床効果判定及び副作用回避を目的としてTDMが実施されている。	臨床効果判定を目的としてTDMが実施されている。	entailment
臨床効果判定及び副作用回避を目的としてTDMが実施されている。	副作用回避を目的としてTDMが実施されている。	entailment
臨床効果判定及び副作用回避を目的としてTDMが実施されている。	薬物投与を目的としてTDMが実施されている。	neutral
VCMの臨床効果は作用時間に依存する。	VCMの臨床効果は作用する時間に依存する。	entailment
VCMの臨床効果は作用時間に依存する。	VCMの臨床効果は作用時期に依存する。	neutral
VCMの臨床効果は作用時間に依存する。	VCMの効果は作用時間に依存する。	entailment
患者がMRSA肺炎と診断された。	患者がウイルス性肺炎と診断された。	neutral
患者がMRSA肺炎と診断された。	患者が細菌性肺炎と診断された。	entailment
VancomycinはMRSA肺炎治療の第一選択薬である。	VancomycinはMRSA肺炎を治療するための第一選択薬である。	entailment
VancomycinはMRSA肺炎治療に有効である。	VancomycinはMRSA肺炎を治療することに有効である。	entailment
患者がMRSA肺炎と診断された。	患者が肺炎と診断された。	entailment
リン酸二カリウム注を投与中止。	リン酸二カリウム注の投与を中止した。	entailment
リン酸二カリウム注を投与中止。	リン酸二カリウム注投与を中止した。	entailment
リン酸二カリウム注を投与中止。	リン酸二カリウム注を投与することを中止した。	entailment
リン酸二カリウム注を投与中止。	リン酸二カリウム注を投与開始。	contradiction
リン酸二カリウム注を投与中止。	リン酸二カリウム注を投与した。	entailment
外来患者に対して、内服薬確認及び服薬指導を開始した。	外来の患者に対して、内服薬確認及び服薬指導を開始した。	entailment
外来患者に対して、内服薬確認及び服薬指導を開始した。	患者に対して、内服薬確認及び服薬指導を開始した。	entailment
外来患者に対して、内服薬確認及び服薬指導を開始した。	入院患者に対して、内服薬確認及び服薬指導を開始した。	neutral
外来患者に対して、内服薬確認及び服薬指導を開始した。	外来患者に対して、内服薬を確認した。	entailment
外来患者に対して、内服薬確認及び服薬指導を開始した。	外来患者に対して、服薬を開始した。	neutral
外来患者に対して、内服薬確認及び服薬指導を開始した。	外来患者に対して、内服薬確認のみ開始した。	contradiction
外来患者に対して、内服薬確認及び服薬指導を開始した。	外来患者に対して、服薬指導のみ開始した。	contradiction
外来患者に対して、内服薬確認及び服薬指導を開始した。	外来患者に対して、内服薬確認と服薬指導を開始した。	entailment
内服薬確認で禁忌された薬の服用を回避した。	内服薬を確認した。	entailment
内服薬確認で禁忌薬の服用を回避した。	併用禁忌薬の服用を回避した。	entailment
当院消化器肝臓内科の医師より薬剤師に介入依頼があった。	医師より薬剤師に介入の依頼があった。	entailment
当院消化器肝臓内科の医師より薬剤師に介入依頼があった。	医師より薬剤師に介入するよう依頼があった。	entailment
当院消化器肝臓内科の医師より薬剤師に介入依頼があった。	当院の消化器肝臓内科の医師より薬剤師に介入依頼があった。	entailment
当院消化器肝臓内科の医師より薬剤師に介入依頼があった。	当院の消化器内科の医師より薬剤師に介入依頼があった。	neutral
当院消化器肝臓内科の医師より薬剤師に介入依頼があった。	消化器肝臓内科の医師より薬剤師に介入依頼があった。	entailment
外来患者にDCVを導入予定である。	外来の患者にDCVを導入予定である。	entailment
外来患者にDCVを導入予定である。	患者にDCVを導入予定である。	entailment
外来患者にDCVを導入予定である。	通院患者にDCVを導入予定である。	entailment
外来患者にDCVを導入予定である。	入院患者にDCVを導入予定である。	neutral
外来患者にDCV導入予定である。	外来患者にDCVを導入した。	contradiction
アドヒアランス確認を行なっている。	アドヒアランスを確認している。	entailment
アドヒアランス確認を行なっている。	コンプライアンス確認を行っている。	neutral
アドヒアランス確認、副作用モニタリング、新たな追加薬剤の有無の確認などを行なっている。	新たな薬剤の有無の確認などを行なっている。	entailment
C型慢性肝炎であった。	C型肝炎であった。	entailment
C型慢性肝炎であった。	慢性肝炎であった。	entailment
C型慢性肝炎であった。	肝炎であった。	entailment
C型慢性肝炎であった。	C型の肝炎であった。	entailment
C型慢性肝炎であった。	急性肝炎であった。	contradiction
C型慢性肝炎であった。	B型肝炎であった。	contradiction
内服薬確認を行った。	内服薬を確認した。	entailment
内服薬確認を行うと、DCVとの併用禁忌薬であるクラリスロマイシンを服用していることを発見した。	内服薬確認を行うと、DCVとの併用薬であるクラリスロマイシンを服用していることを発見した。	contradiction
当院消化器肝臓内科の医師が薬剤師に介入依頼をした。	医師が薬剤師に介入を依頼した。	entailment
外来患者にDCV導入予定である。	外来患者にDCVを導入する予定である。	entailment
内服薬確認で禁忌薬の服用を回避した。	内服薬確認で薬の服用を回避した。	neutral
C型慢性肝炎であった。	慢性の肝炎であった。	entailment
外来患者に対して、内服薬確認及び服薬指導を開始した。	外来患者に対して、服薬指導を開始した。	entailment
グリメピリドは、インスリン分泌促進作用とインスリン感受性改善作用を併せ持つ。	グリメピリドは、インスリン分泌を促進する作用とインスリン感受性改善作用を併せ持つ。	entailment
グリメピリドは、インスリン分泌促進作用とインスリン感受性改善作用を併せ持つ。	グリメピリドは、インスリンを分泌する作用とインスリン感受性改善作用を併せ持つ。	neutral
グリメピリドは、インスリン分泌促進作用とインスリン感受性改善作用を併せ持つ。	グリメピリドは、インスリン分泌促進作用とインスリン感受性を改善する作用を併せ持つ。	entailment
GP投与により、2型糖尿病患者における血糖改善効果がみられた。	GPを投与し、2型糖尿病患者における血糖改善効果がみられた。	entailment
GP投与により、2型糖尿病患者における血糖改善効果がみられた。	GPを投与することにより、2型糖尿病患者における血糖改善効果がみられた。	entailment
GP投与により、2型糖尿病患者における血糖改善効果がみられた。	グリメピリド投与により、2型糖尿病患者における血糖改善効果がみられた。	entailment
GP投与により、2型糖尿病患者における血糖改善効果がみられた。	グリクラジド投与により、2型糖尿病患者における血糖改善効果がみられた。	neutral
GP投与により、2型糖尿病患者において血糖改善効果がみられた。	GP投与により、2型の糖尿病患者において血糖改善効果がみられた。	neutral
GP投与により、2型糖尿病患者において血糖改善効果がみられた。	GP投与により、糖尿病患者において血糖改善効果がみられた。	entailment
GP投与により、2型糖尿病患者において血糖改善効果がみられた。	GP投与により、1型糖尿病患者において血糖改善効果がみられた。	neutral
GP投与により、2型糖尿病患者において血糖改善効果がみられた。	GP投与により、1型の糖尿病患者において血糖改善効果がみられた。	neutral
既存のSU剤と同等の血糖降下作用があることが示唆された。	既存のSU剤と同等の血糖が降下する作用があることが示唆された。	entailment
既存のSU剤と同等の血糖降下作用があることが示唆された。	既存のSU剤よりも血糖が降下する作用があることが示唆された。	contradiction
既存のSU剤と同等の血糖降下作用があることが示唆された。	既存のSU剤と同等の血糖が上昇する作用があることが示唆された。	contradiction
既存のSU剤と同等の血糖降下作用があることが示唆された。	既存のSU剤と同等の血糖上昇作用があることが示唆された。	contradiction
膵β細胞に対するインスリン分泌作用がマイルドである。	膵β細胞に対するインスリンを分泌する作用がマイルドである。	entailment
膵β細胞に対するインスリン分泌作用がマイルドである。	膵β細胞に対するインスリンの作用がマイルドである。	neutral
GP投与により、2型糖尿病患者において血糖改善効果がみられた。	GP投与により、2型糖尿病の患者において血糖改善効果がみられた。	entailment
GP投与により、2型糖尿病患者において血糖改善効果がみられた。	GP投与により、2型糖尿病患者において血糖が改善する効果がみられた。	entailment
GP投与により、2型糖尿病患者において血糖改善効果がみられた。	GP投与により、2型糖尿病患者において血糖改善する効果がみられた。	entailment
GP投与により、2型糖尿病患者において血糖改善効果がみられた。	GP投与により、2型糖尿病患者において血糖が改善した。	neutral
健診では異常所見はなかった。	健診では異常の所見はなかった。	entailment
嘔気出現し、近医受診した。	嘔気が出現し、近医受診した。	entailment
嘔気出現し、近医受診した。	嘔気出現し、近医を受診した。	entailment
嘔気出現し、近医受診した。	嘔気出現し、近医が受診した。	neutral
精査加療を目的に当院受診。	精査と加療を目的に当院受診。	entailment
精査加療を目的に当院受診。	精査加療を目的に当院を受診した。	entailment
精査加療を目的に当院受診。	精査または加療を目的に当院受診。	neutral
S-1休薬期間や尿量確保の必要性を明確にした。	S-1を休薬する期間や尿量確保の必要性を明確にした。	entailment
S-1休薬期間や尿量確保の必要性を明確にした。	S-1を休薬する時期や尿量確保の必要性を明確にした。	neutral
S-1休薬期間や尿量確保の必要性を明確にした。	S-1休薬期間や尿を確保することの必要性を明確にした。	neutral
TPN開始。	TPNを開始した。	entailment
TPN開始。	TPNを始めた。	entailment
進行胃癌の患者にS-1+CDDP療法が広く行われている。	胃癌の患者にS-1+CDDP療法が広く行われている。	entailment
健診では異常所見はなかった。	健診では異常はなかった。	entailment
S-1休薬期間や尿量確保の必要性を明確にした。	S-1休薬期間や尿量を確保することの必要性を明確にした。	entailment
進行胃癌の患者にS-1+CDDP療法が広く行われている。	早期胃癌の患者にS-1+CDDP療法が広く行われている。	neutral
精査加療を目的に当院受診。	精査加療を目的に他院を受診した。	neutral
血疾を主訴に当院紹介となり、非小細胞肺癌と診断された。	血疾を主訴に当院に紹介となり、非小細胞肺癌と診断された。	entailment
血疾を主訴に当院紹介となり、非小細胞肺癌と診断された。	血疾を主訴に当院紹介となり、小細胞肺癌と診断された。	contradiction
血疾を主訴に当院紹介となり、非小細胞肺癌と診断された。	血疾を主訴に当院紹介となり、肺癌と診断された。	entailment
発熱と炎症反応上昇を認めたため、LVFX投与を開始した。	炎症反応が上昇した。	entailment
発熱と炎症反応上昇を認めたため、LVFX投与を開始した。	炎症反応が降下した。	contradiction
発熱と炎症反応上昇を認めたため、LVFX投与を開始した。	発熱と炎症反応上昇を認めたため、LVFXを投与した。	entailment
炎症による多発肝腫瘤と判断し、抗生剤投与を継続した。	炎症による肝腫瘤と判断し、抗生剤投与を継続した。	entailment
炎症による多発肝腫瘤と判断し、抗生剤投与を継続した。	炎症による腫瘤と判断し、抗生剤投与を継続した。	entailment
炎症による多発肝腫瘤と判断し、抗生剤投与を継続した。	炎症による腫瘍と判断し、抗生剤投与を継続した。	neutral
炎症による多発肝腫瘤と判断し、抗生剤投与を継続した。	炎症による多発肝腫瘍と判断し、抗生剤投与を継続した。	neutral
炎症による肝腫瘤と判断し、抗生剤投与を継続した。	炎症による肝腫瘤と判断し、抗生剤を投与した。	entailment
炎症による肝腫瘤と判断し、抗生剤投与を継続した。	炎症による肝腫瘤と判断し、抗生剤を投与し続けた。	entailment
抗生剤投与開始したところ、炎症反応改善を認めた。	抗生剤投与を開始したところ、炎症反応改善を認めた。	entailment
抗生剤投与開始したところ、炎症反応改善を認めた。	抗生剤を投与したところ、炎症反応改善を認めた。	entailment
抗生剤投与開始したところ、炎症反応改善を認めた。	抗生剤を投与し始めたところ、炎症反応改善を認めた。	entailment
抗生剤投与開始したところ、炎症反応改善を認めた。	抗生剤投与開始したところ、炎症反応が改善した。	entailment
非小細胞肺癌に対して放射線化学療法を施行した。	肺癌に対して放射線化学療法を施行した。	entailment
非小細胞肺癌に対して放射線化学療法を施行した。	小細胞肺癌に対して放射線化学療法を施行した。	neutral
非小細胞肺癌に対して放射線化学療法を施行した。	大細胞癌に対して放射線化学療法を施行した。	neutral
抗PD-L1抗体投与が壊死性肝腫瘤発生に影響した。	抗PD-L1抗体を投与したことが壊死性肝腫瘤発生に影響した。	entailment
抗PD-L1抗体投与が壊死性肝腫瘤発生に影響した。	抗PD-L1抗体の投与が壊死性肝腫瘤発生に影響した。	entailment
抗PD-L1抗体投与が壊死性肝腫瘤発生に影響した。	抗PD-L1抗体が壊死性肝腫瘤発生に影響した。	neutral
抗PD-L1抗体投与が壊死性肝腫瘤発生に影響した。	抗PD-L1抗体投与が壊死性の肝腫瘤が発生することに影響した。	entailment
抗PD-L1抗体投与が壊死性肝腫瘤発生に影響した。	抗PD-L1抗体投与が壊死性肝腫瘤が発生することに影響した。	entailment
抗PD-L1抗体投与が壊死性肝腫瘤発生に影響した。	抗PD-L1抗体投与が壊死性肝腫瘤の発生に影響した。	entailment
抗PD-L1抗体投与が壊死性肝腫瘤発生に影響した。	抗PD-L1抗体投与が肝腫瘤発生に影響した。	neutral
抗PD-L1抗体投与が壊死性肝腫瘤発生に影響した。	抗PD-L1抗体投与が腫瘤発生に影響した。	neutral
抗PD-L1抗体投与が壊死性肝腫瘤発生に影響した。	抗PD-L1抗体投与が腫瘤が発生することに影響した。	neutral
炎症による肝腫瘤と判断し、抗生剤投与を継続した。	炎症による腎腫瘤と判断し、抗生剤投与を継続した。	neutral
炎症による肝腫瘤と判断し、抗生剤投与を継続した。	炎症による腫瘤と判断し、抗生剤投与を継続した。	entailment
血疾を主訴に当院紹介となり、非小細胞肺癌と診断された。	血疾を主訴に当院から紹介となり、非小細胞肺癌と診断された。	neutral
血疾を主訴に当院紹介となり、非小細胞肺癌と診断された。	血疾を主訴に当院を紹介となり、非小細胞肺癌と診断された。	neutral
発熱と炎症反応上昇を認めたため、LVFX投与を開始した。	発熱と炎症反応上昇を認めたため、LVFXを投与しなかった。	contradiction
胃癌に対して幽門側胃切除術が施行された。	胃癌に対して胃切除術が施行された。	entailment
胃癌に対して幽門側胃切除術が施行された。	幽門側の胃を切除した。	entailment
胃癌に対して幽門側胃切除術が施行された。	胃癌に対して噴門側胃切除術が施行された。	neutral
当院耳鼻咽喉科で喉頭癌に対しNivolumabを投与した。	当院の耳鼻咽喉科で喉頭癌に対しNivolumabを投与した。	entailment
当院耳鼻咽喉科で喉頭癌に対しNivolumabを投与した。	耳鼻咽喉科で喉頭癌に対しNivolumabを投与した。	entailment
当院耳鼻咽喉科で喉頭癌に対しNivolumabを投与した。	当院の耳鼻科で喉頭癌に対しNivolumabを投与した。	neutral
当院耳鼻咽喉科で喉頭癌に対しNivolumabを投与した。	当院耳鼻咽喉科で癌に対しNivolumabを投与した。	entailment
当院耳鼻咽喉科で喉頭癌に対しNivolumabを投与した。	当院耳鼻咽喉科で咽頭癌に対しNivolumabを投与した。	neutral
採血で肝障害を認め消化器内科に紹介となった。	採血で膵障害を認め消化器内科に紹介となった。	neutral
Nivolumab投与中止した後、PSL投与開始。	Nivolumab投与中止した後、PSL投与を開始。	entailment
Nivolumab投与中止した後、PSL投与開始。	Nivolumab投与中止した後、PSLを投与することを開始した。	entailment
Nivolumab投与中止した後、PSL投与開始。	Nivolumab投与中止した後、PSLを投与した。	entailment
Nivolumab投与中止した後、PSL投与開始。	PSLを投与開始した。	entailment
Nivolumab投与中止した後、PSL投与開始。	Nivolumab投与中止した後、PSLの投与を開始した。	entailment
Nivolumab投与中止した後、PSL投与開始。	Nivolumab投与中止した後、PSLの投与を中止した。	contradiction
胆管炎に改善が見られ、PSL終了とした。	胆管炎に改善が見られ、PSLを終了した。	entailment
腫瘍が増悪したため、Nivolumab投与再開した。	腫瘍が増悪したため、Nivolumab投与を再開した。	entailment
腫瘍が増悪したため、Nivolumab投与再開した。	Nivolumabを投与再開した。	entailment
腫瘍が増悪したため、Nivolumab投与再開した。	Nivolumabを投与した。	entailment
当院耳鼻咽喉科で喉頭癌に対しNivolumabを投与した。	当院で喉頭癌に対しNivolumabを投与した。	entailment
Nivolumab投与中止した後、PSL投与開始。	Nivolumab投与を中止した後、PSL投与開始。	entailment
Nivolumab投与中止した後、PSL投与開始。	Nivolumabを投与することを中止した。	entailment
Nivolumab投与中止した後、PSL投与開始。	Nivolumabを投与した。	entailment
Nivolumab休薬により腫瘍増悪した。	Nivolumab休薬により腫瘍が増悪した。	entailment
Nivolumab休薬により腫瘍増悪した。	Nivolumab休薬により腫瘍が改善した。	contradiction
